<Phenotype>,SCI,MAT
L044,139.4611111,0.83475
D081,123.5722222,0.829333333
D069,140.1666667,0.8425
B079,132.2333333,0.831833333
D075,125.6,0.830611111
B013,134.0305556,0.843222222
B021,134.05,0.845166667
B060,129.2888889,0.836833333
L023,126.5916667,0.833361111
L028,133.6583333,0.81075
L122,127.5111111,0.839388889
D067,133.8888889,0.835333333
L057,129.7555555,0.835166667
L111,134.5388889,0.840444445
D046,130.6833333,0.836972222
D010,130.7444444,0.83625
L089,133.1166667,0.840166667
D059,152.0166667,0.8485
D057,153.9888889,0.830333333
L082,160.9194445,0.854055556
B049,142.0638889,0.840166667
B050,147.5083333,0.840333333
B025,133.4277778,0.839
F079,140.35,0.834416667
L095,128.5333333,0.8315
L102,117.3444445,0.829944445
L115,115.9166667,0.838055556
B055,142.6277778,0.843166667
D013,126.4333333,0.846333333
D027,132.2444445,0.839
B020,138.6055556,0.836722222
D089,131.4666667,0.8415
D064,139.2916667,0.837166667
D065,150.7638889,0.832888889
L123,121.0611111,0.8345
D023,132.175,0.827222222
D068,147.975,0.841444445
L071,126.25,0.828972222
L081,132.1666667,0.821
L030,122.0444445,0.825111111
D048,112.6083333,0.831611111
L112,146.0555556,0.798777778
D049,130.4027778,0.801638889
L052,121.3722222,0.818666667
D021,138.3666667,0.827333333
D005,134.575,0.8325
L054,125.5055556,0.818222222
L050,109.55,0.833166667
L003,131.0527778,0.827722222
L009,139.0888889,0.832277778
L008,142.4666667,0.827444445
B076,138.5555556,0.827222222
L067,123.6055556,0.832333333
D011,126.7305556,0.826
D091,115.2555556,0.837166667
D092,122.8388889,0.826
L047,129.2111111,0.821361111
D020,133.0194445,0.829388889
B007,143.3027778,0.841888889
D006,145.6833333,0.804444444
D029,143.1388889,0.820583333
L055,135.0416667,0.830611111
B008,140.0666667,0.817361111
L024,134.5888889,0.819361111
L006,130.2027778,0.827166667
L117,156.875,0.840944445
L046,107.275,0.834833333
L073,133.6166667,0.829138889
D061,150.5083333,0.835361111
L113,146.2472222,0.819416667
B071,128.7944445,0.829555556
L098,130.9694445,0.831222222
L118,138.2,0.826333333
B011,134.4833333,0.829666667
L119,132.5,0.836694445
L092,136.4444445,0.824
L029,116.4944444,0.826833333
L048,132.1555556,0.8315
L012,128.9444444,0.830166667
L060,133.4611111,0.836444445
D094,134.7333333,0.827055556
B012,140.2777778,0.833111111
L066,131.9027778,0.821666667
B051,113.8138889,0.836944445
F037,124.55,0.836666667
L114,129.6055556,0.817833333
D086,147.2555556,0.825722222
B042,133.85,0.8345
D030,127.1527778,0.82075
D072,134.5833333,0.835166667
D070,121.8944445,0.8375
L022,99.52222222,0.829888889
B033,123.8333333,0.841833333
L083,134.7083333,0.819222222
D004,127.7416667,0.82625
F007,111.4555556,0.835083333
L039,120.7519813,0.755166667
B078,131.25,0.829611111
L080,124.1555556,0.828888889
B024,134.3638889,0.829333333
D014,135.8444445,0.827361111
L104,150.1944445,0.836333333
D058,132.9027778,0.827833333
B056,131.8388889,0.833333333
D066,162.6611111,0.83075
D104,137.8472222,0.841833333
D095,138.2888889,0.827805556
L020,132.9388889,0.812833333
L026,128.6138889,0.818083333
L013,142.6055556,0.821416667
L124,136.6805556,0.828
F016,107.2777778,0.765833333
L001,135.6916667,0.819166667
B045,124.9583333,0.829333333
F082,93.19166667,0.827083333
B039,109.2166667,0.8155
L070,120.9111111,0.834222222
D039,132.1055556,0.822111111
D099,135.7722222,0.837333333
B026,141.9055556,0.829944445
D105,119.9,0.830333333
B010,150.875,0.828166667
D047,125.9194444,0.823361111
D002,133.5,0.831916667
D040,127.4777778,0.832
B066,139.0944445,0.834777778
B041,137.5583333,0.840055556
B083,141.2055556,0.831722222
B043,154.1833333,0.835277778
B053,130.5888889,0.833416667
B077,131.4,0.836
L041,154.4111111,0.829583333
L074,139.0833333,0.843361111
D087,136.35,0.8365
D041,126.925,0.828
L049,129.0333333,0.826833333
F102,126.7722222,0.842777778
D028,136.0777778,0.829777778
B022,140.0555556,0.841166667
F014,136.8805556,0.8475
F101,133.3083333,0.844444445
F046,138.9416667,0.828
F089,106.1527778,0.839583333
F039,121.3638889,0.837555556
F092,136.8,0.816166667
L002,138.1388889,0.814333333
F068,127.7333333,0.820833333
B064,113.2333333,0.833055556
D062,137.1166667,0.816444445
B031,141.5333333,0.851833333
B023,142.7833333,0.832833333
F086,130.7722222,0.84025
F032,127.1111111,0.823
F099,143.7055556,0.814
F083,143.6805556,0.8325
F073,144.4888889,0.841333333
L056,126.5611111,0.826916667
F028,134.1611111,0.837
B029,122.5,0.760166667
B057,131.3805556,0.844888889
F047,135,0.846333333
B016,141.5333333,0.840305556
B028,142.4361111,0.837666667
F031,136.1916667,0.833166667
B082,142.4944444,0.840944445
F070,135.9222222,0.840166667
B063,121.8055556,0.816611111
L069,115.25,0.8205
B019,123.4555556,0.837333333
F081,132.9666667,0.8285
F072,146.5416667,0.845944445
F022,142.6583333,0.831166667
B062,110.4722222,0.798055556
F094,147.0916667,0.825444445
F035,134.9944444,0.821666667
B037,138.6916667,0.8405
F071,130.8666667,0.8365
F008,136.8138889,0.830333333
D090,143.2444445,0.829277778
F065,128.6833333,0.831055556
F015,131.1222222,0.822666667
F078,127.2916667,0.8275
B038,128.2166667,0.839111111
F052,129.9,0.839666667
B032,126.0222222,0.836166667
L064,128.3022234,0.829950708
B046,143.4527778,0.834444445
D055,164.5055556,0.843416667
L025,134.0722222,0.827
L075,131.4027778,0.826166667
B030,134.875,0.837111111
L110,157.6722222,0.837583333
B058,110.9444444,0.810277778
F024,131.2,0.844
F053,150.5472222,0.83325
F050,144.85,0.831916667
F045,138.7777778,0.838166667
F104,105.0777778,0.85
F054,143.9916667,0.837722222
F090,137.6416667,0.843277778
L100,135.3333333,0.82675
F004,138.9361111,0.830333333
F036,137.2472222,0.833611111
F069,125.575,0.828222222
F088,132.0944444,0.836166667
F084,144.5138889,0.821666667
F056,115.4638889,0.836166667
F057,139.9166667,0.834
D037,117.9222222,0.817222222
F018,137.2388889,0.826888889
F076,137.4666667,0.827333333
D008,123.8333333,0.827888889
F077,130.5833333,0.823055556
F044,129.3666667,0.834833333
F067,127.5166667,0.812333333
F013,126.0583333,0.805
B035,146.4861111,0.848055556
F055,149.6944445,0.842083333
F002,143.0833333,0.824
F023,134.5611111,0.82
F025,135.7583334,0.842333333
L120,104.25,0.832666667
L017,129.9611111,0.819
D073,132.9555556,0.826222222
F100,138.4555556,0.836833333
F005,120.1694445,0.834
F091,118.9611111,0.838305556
F062,129.9888889,0.836111111
L051,128.0138889,0.805611111
F040,124.5027778,0.818583333
F048,129.4333333,0.831805556
L004,117.0138889,0.8245
F026,137.5777778,0.842
F093,137.4027778,0.828944445
D071,126.6222222,0.821833333
F027,135.2833333,0.811694444
F066,108.1361111,0.837222222
F017,129.7583333,0.837583333
F051,134.3833334,0.827944445
F097,135.3527778,0.840388889
B061,138.3861111,0.832
F060,118.9666667,0.83925
F087,122.3638889,0.83375
F006,133.3833333,0.822611111
F074,134.5194445,0.831666667
D050,120.875,0.839666667
D102,137.8388889,0.816166667
F020,126.8611111,0.823583333
F034,120.0694445,0.760194445
B040,145.6972222,0.837083333
L097,93.50833333,0.839833333
L096,145.4111111,0.831
F043,86.57777778,0.839
F098,139.3388889,0.846333333
L038,84.68333333,0.840833333
L084,152.4888889,0.842916667
L065,138.2166667,0.839166667
L027,133.5527778,0.827416667
D034,126.875,0.822722222
F003,92.39722222,0.841583333
F085,132.3222222,0.8355
F096,135.0888889,0.829333333
B006,129.9166667,0.827833333
F064,147.3222222,0.822111111
F033,134.6972222,0.839222222
F080,123.9305556,0.828333333
F041,118.5416667,0.833333333
L109,131.9944445,0.8275
F001,146.1111111,0.814333333
F075,130.6333333,0.819388889
F095,137.3194445,0.830277778
F030,127.5277778,0.8265
L076,93.33333333,0.798333333
F029,111.7333333,0.835333333
F049,131.7555556,0.838333333
F042,123.8388889,0.841916667
D088,139.5388889,0.840694445
B014,135.1777778,0.84
L007,141.8833333,0.822055556
F009,132.2444445,0.835666667
F012,141.3055556,0.843944445
B002,126.5166667,0.841
B005,135.4277778,0.834833333
L085,138.3972222,0.834833333
L037,107.9777778,0.837666667
B067,148.4444445,0.834888889
F058,151.375,0.841555556
F061,153.2583333,0.837333333
F038,144.5277778,0.841
B065,131.1527778,0.829722222
B068,161.5583333,0.835
B069,156.1555556,0.8425
D083,141.7111111,0.842166667
F059,142.9555556,0.845166667
B054,131.95,0.843166667
D056,162.4111111,0.843222222
L061,142.0166667,0.839388889
L101,149.7777778,0.838166667
F010,140.0777778,0.843333333
D054,162.425,0.832277778
D097,136.4,0.834
D043,138.6083333,0.836861111
B003,131.1083333,0.841611111
L107,132.7222222,0.826666667
D060,134.4277778,0.823888889
L063,141.5666667,0.8345
L106,143.1561907,0.821230214
F011,140.6694445,0.842166667
D084,129.1583333,0.840611111
B001,136.5861111,0.835833333
D085,122.0666667,0.835388889
L062,142.3444445,0.816444445
F105,122.6111111,0.813333333
L116,121.3888889,0.815722222
B059,113.1408702,0.770416667
L077,127.375,0.821194444
L078,140.25,0.836166667
B017,134.6833333,0.837
D033,134.3777778,0.828833333
L035,148.6305556,0.837
D051,125.5944445,0.834166667
F103,134.7333333,0.831722222
D016,139.2972222,0.8325
L011,132.0166667,0.833333333
D001,115.1111111,0.833666667
D103,137.9666667,0.811916667
B044,138.5611111,0.835166667
L091,133.0722222,0.831388889
D015,123.6888889,0.833666667
F063,137.4638889,0.826166667
L058,126.9194445,0.823055556
L068,116.0805556,0.835833333
D074,141.3166667,0.833833333
D077,130.1333334,0.832333333
D007,134.6555556,0.83625
L108,105.6111111,0.7925
D018,131.6,0.833611111
B004,152.7111111,0.835
F021,134.9055556,0.837277778
B074,123.0777778,0.829888889
B018,138.7083333,0.829444445
B052,132.1861111,0.829777778
D078,141.2527778,0.840388889
B080,130.2,0.831833333
D024,136.1944445,0.829888889
L015,128.3333333,0.828333333
D009,140.6944444,0.829333333
B036,126.3694445,0.831611111
D053,122.8861111,0.829111111
B047,122.4666667,0.838
B027,133.625,0.836777778
D025,130.75,0.822277778
B009,123.4805556,0.834166667
B048,161.3694444,0.832222222
D017,127.3722222,0.831
B072,131.8722222,0.832777778
D100,136.6333333,0.824
D093,133.0666667,0.819111111
D031,131.0666667,0.844944445
D032,127.6888889,0.836166667
L103,128.9416667,0.835416667
L088,101.8944444,0.834833333
L086,131.6722222,0.818305556
D101,123.6388889,0.834611111
L087,124.9,0.836083333
L045,84.43888889,0.835611111
L079,122.0861111,0.833166667
D052,128.9583333,0.834666667
D026,129.8944445,0.833666667
L005,131.7,0.814472222
L059,135.6333333,0.825611111
L010,128.6888889,0.840583333
B070,134.2805556,0.827888889
L040,133.1555556,0.833666667
L126,117.25,0.8365
L099,138.3944445,0.830416667
D096,140.1083333,0.839555556
L021,134.55,0.815527778
D022,118.3055556,0.8245
L094,127.9333333,0.822972222
F019,126.2777778,0.817833333
D036,126.4277778,0.827
D098,129.0361111,0.824611111
L072,129.725,0.824166667
L093,125.075,0.832555556
B015,145.45,0.826861111
D019,122.8083333,0.8345
D044,132.2833333,0.834666667
D045,138.6944445,0.829
D003,135.0777778,0.8245
B075,119.25,0.831611111
L090,129.1444444,0.8335
B081,140.2111111,0.8225
D082,120.6055556,0.827555556
D079,134.8777778,0.833611111
D080,123.575,0.839388889
D035,132.9472222,0.811555556
L014,140.1888889,0.817666667
L032,151.4722222,0.823666667
L031,138.3638889,0.819
L033,118.1555556,0.830666667
D012,139.6638889,0.830055556
D076,139.0111111,0.8305
L034,140.4833333,0.829277778
B073,129.0972222,0.847666667
B034,129.05,0.83925
D063,128.5888889,0.837
L036,101.3722222,0.8255
D038,124.4611111,0.8255
L042,107.8777778,0.824
L105,131.7166667,0.830888889
L043,104.9722222,0.842111111
L053,131.7361111,0.817444445
D042,129.4638889,0.836777778
L125,138.4611111,0.834222222
L121,136.8333333,0.803138889
L018,116.15,0.826833333
L019,100.0833333,0.829555556
L016,87.83333333,0.83625
